الرياض,المنطقة الوسطى,24.7136,46.6753
جدة,المنطقة الغربية,21.5433,39.1728
الدمام,المنطقة الشرقية,26.4207,50.0888
مكة المكرمة,المنطقة الغربية,21.3891,39.8579
المدينة المنورة,المنطقة الغربية,24.4672,39.6139
الطائف,المنطقة الغربية,21.2667,40.4167
تبوك,المنطقة الشمالية,28.3835,36.5662
بريدة,المنطقة الوسطى,26.3267,43.9667
الخبر,المنطقة الشرقية,26.2172,50.1971
أبها,المنطقة الجنوبية,18.2164,42.5053
حائل,المنطقة الشمالية,27.5219,41.6957
نجران,المنطقة الجنوبية,17.4933,44.1277
جازان,المنطقة الجنوبية,16.8892,42.5511
ينبع,المنطقة الغربية,24.0231,38.1899
الجبيل,المنطقة الشرقية,27.0174,49.6225
